ethn..sa_id,ethn..proportion_of_sa_within_co_m_boundary,ethn..total_persons,ethn..ethnic_group_white,ethn..ethnic_group_chinese,ethn..ethnic_group_irish_traveller,ethn..ethnic_group_indian,ethn..ethnic_group_pakistani,ethn..ethnic_group_bangladeshi,ethn..ethnic_group_other_asian,ethn..ethnic_group_black_caribbean,ethn..ethnic_group_black_african,ethn..ethnic_group_black_other,ethn..ethnic_group_mixed,ethn..ethnic_group_other,ethn..white_or_white_british_or_white_irish,ethn..black_or_black_british_or_black_irish,ethn..asian_or_asian_british_or_asian_irish,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
N00000841,1.0000000011600101,295,293,0,1,0,0,0,0,0,0,0,0,1,294,0,0,0,1
N00000842,0.99999999992717303,556,545,0,0,1,0,1,4,0,1,3,1,0,545,4,6,1,0
N00000843,1.00000000040836,233,233,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0
N00000844,1.0000000042999999,213,213,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0
N00000845,0.99999999690636299,202,201,1,0,0,0,0,0,0,0,0,0,0,201,0,1,0,0
N00000846,0.99999999998401701,246,245,0,0,0,0,0,0,1,0,0,0,0,245,1,0,0,0
N00000847,1.0000000000226299,958,950,0,0,0,0,0,0,1,0,3,3,1,950,4,0,3,1
N00000848,1.0000000007029,240,240,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0
N00000849,0.999999991746789,307,306,0,0,0,0,0,1,0,0,0,0,0,306,0,1,0,0
N00000850,0.99999999997752498,270,267,0,0,0,0,0,0,0,0,1,0,2,267,1,0,0,2
N00000851,1.0000000005199801,243,242,0,0,0,0,0,0,0,1,0,0,0,242,1,0,0,0
N00000852,1.0000000000129401,1179,1169,0,0,0,0,2,0,0,4,0,3,1,1169,4,2,3,1
N00000853,1.0000000002114799,282,282,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0
N00000854,1.0000000000184599,763,753,3,2,0,0,0,0,0,0,0,5,0,755,0,3,5,0
N00000906,1.0000000002460501,263,256,0,0,1,0,2,4,0,0,0,0,0,256,0,7,0,0
N00000907,0.99999999978809095,332,322,3,0,0,0,0,7,0,0,0,0,0,322,0,10,0,0
N00000908,0.99999999988328903,329,325,0,0,0,0,0,1,0,0,0,2,1,325,0,1,2,1
N00000909,1.0000000106868601,246,244,2,0,0,0,0,0,0,0,0,0,0,244,0,2,0,0
N00000910,0.99999999965803099,273,268,1,0,1,2,0,1,0,0,0,0,0,268,0,5,0,0
N00000911,1.00000000000948,239,239,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0
N00000912,1.0000000000025899,243,231,0,0,0,0,0,5,0,0,0,7,0,231,0,5,7,0
N00000913,0.99999999999247602,321,316,0,0,0,0,0,5,0,0,0,0,0,316,0,5,0,0
N00000914,1.0000000000042299,294,288,0,0,0,0,0,6,0,0,0,0,0,288,0,6,0,0
N00000915,0.99999999996794597,214,213,1,0,0,0,0,0,0,0,0,0,0,213,0,1,0,0
N00000916,1.0000000000084399,234,226,0,0,0,4,0,3,0,0,0,1,0,226,0,7,1,0
N00000917,1.0000000000138001,226,226,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0
N00000918,1.0000000000521201,261,260,0,0,1,0,0,0,0,0,0,0,0,260,0,1,0,0
N00000919,1.00000000001999,229,216,0,0,0,4,0,5,0,1,0,3,0,216,1,9,3,0
N00000920,0.99009054710223099,148,138,1,0,0,0,0,1,1,1,0,0,6,138,2,2,0,6
N00000921,0.66894516334931997,713,698,5,0,0,0,0,1,1,1,2,4,1,698,4,6,4,1
N00000922,0.99197087876801904,292,284,2,0,0,0,0,1,0,1,0,1,3,284,1,3,1,3
N00000923,1.00000000031534,257,249,1,0,0,0,1,0,0,0,0,5,1,249,0,2,5,1
N00000924,0.99999999997010103,224,220,4,0,0,0,0,0,0,0,0,0,0,220,0,4,0,0
N00000925,0.94848973517436497,288,283,4,0,0,0,0,0,0,0,0,1,0,283,0,4,1,0
N00001047,4.70907381861344E-2,314,311,0,0,0,0,0,1,0,0,0,2,0,311,0,1,2,0
N00001049,5.4863537442268399E-2,330,328,0,0,0,0,0,1,0,0,0,0,1,328,0,1,0,1
N00001050,0.50450735232685395,335,330,0,0,0,0,0,0,1,1,2,1,0,330,4,0,1,0
N00001082,1.3569103881298601E-2,431,417,0,0,6,0,0,1,0,2,0,5,0,417,2,7,5,0
N00001085,1.0164733635011899E-2,1087,1062,1,0,2,0,0,3,0,4,2,13,0,1062,6,6,13,0
N00001086,0.38562872532057502,336,322,0,0,7,0,0,1,0,3,0,3,0,322,3,8,3,0
N00001089,0.99999999998868405,316,301,0,0,9,0,0,1,0,1,0,4,0,301,1,10,4,0
N00001090,0.94715654557888995,222,215,0,0,0,2,0,3,0,0,0,2,0,215,0,5,2,0
N00001091,0.99999999988567001,384,377,0,0,3,0,3,0,0,0,0,1,0,377,0,6,1,0
N00001092,1.0000000000157601,398,397,0,0,0,0,0,0,0,1,0,0,0,397,1,0,0,0
N00001093,0.999999999999442,642,631,0,0,0,0,0,0,0,1,3,7,0,631,4,0,7,0
N00001094,1.0000000000398299,239,233,0,0,0,0,0,0,0,4,0,2,0,233,4,0,2,0
N00001095,1.00000000011858,368,358,0,0,8,0,0,0,0,1,0,1,0,358,1,8,1,0
N00001096,0.99999999889494096,397,393,0,0,0,0,0,1,0,0,0,3,0,393,0,1,3,0
N00001097,0.99999999993354605,316,315,0,0,0,1,0,0,0,0,0,0,0,315,0,1,0,0
N00001098,1.0000000000035201,308,307,0,0,0,0,0,0,0,1,0,0,0,307,1,0,0,0
N00001099,0.999999999965685,282,278,1,0,0,0,0,1,0,0,0,2,0,278,0,2,2,0
N00001100,0.99999999996815503,292,290,0,0,0,0,0,1,0,0,0,1,0,290,0,1,1,0
N00001101,1.0000000000420699,304,304,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0
N00001102,0.99999999998593303,569,565,1,0,0,0,0,0,0,0,0,2,1,565,0,1,2,1
N00001103,0.99999999999587996,219,217,2,0,0,0,0,0,0,0,0,0,0,217,0,2,0,0
N00001104,0.99999999997634204,303,301,0,0,0,0,0,0,0,1,0,1,0,301,1,0,1,0
N00001105,1.0000000000840199,309,300,0,0,0,0,0,1,0,1,0,7,0,300,1,1,7,0
N00001109,2.5708400105525799E-2,393,389,0,0,0,1,0,0,0,0,0,3,0,389,0,1,3,0
N00001110,0.42838199062044402,345,340,1,0,0,0,0,3,0,0,0,0,1,340,0,4,0,1
N00001111,0.87356805483576205,687,667,3,0,12,0,0,2,0,0,0,3,0,667,0,17,3,0
N00001113,0.99999999845326304,1384,1347,5,4,5,0,0,10,0,4,0,7,2,1351,4,20,7,2
N00001114,0.19417165343677401,319,294,0,1,5,0,2,13,0,3,0,1,0,295,3,20,1,0
N00001116,0.49663111714428199,497,472,4,0,3,0,0,11,0,0,0,7,0,472,0,18,7,0
N00001117,0.99999999998691202,728,727,0,0,0,0,0,1,0,0,0,0,0,727,0,1,0,0
N00001118,0.99999999999165001,305,297,1,1,0,0,0,0,1,0,4,0,1,298,5,1,0,1
N00001119,1.00000000008581,176,175,0,0,0,0,0,0,0,0,0,1,0,175,0,0,1,0
N00001120,0.99999999549582597,213,213,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0
N00001121,1.0000000000147999,235,234,0,0,1,0,0,0,0,0,0,0,0,234,0,1,0,0
N00001122,1.0000000000023901,176,176,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0
N00001123,1.0000000000195599,186,186,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0
N00001124,0.99999999999116496,568,561,2,0,0,0,0,0,0,1,0,4,0,561,1,2,4,0
N00001125,0.99999999996937095,413,412,0,0,1,0,0,0,0,0,0,0,0,412,0,1,0,0
N00001126,0.99999999997707101,242,235,2,0,0,0,0,0,1,1,0,3,0,235,2,2,3,0
N00001127,0.99999999991248401,639,629,5,0,1,0,0,0,0,0,0,3,1,629,0,6,3,1
N00001128,0.99999999753364599,251,250,0,0,0,0,0,0,0,1,0,0,0,250,1,0,0,0
N00001129,0.99999999999519995,450,443,5,0,0,0,0,0,0,1,0,1,0,443,1,5,1,0
N00001145,2.60661753467748E-2,311,311,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0
N00001151,5.8652152677314703E-2,390,388,0,0,0,0,0,0,0,0,0,1,1,388,0,0,1,1
N00001156,0.49732012175976897,1299,1296,1,0,0,0,0,0,0,0,1,0,1,1296,1,1,0,1
N00001217,1.00000000001248,413,410,0,0,0,1,0,0,0,1,0,0,1,410,1,1,0,1
N00001218,0.95130025603883595,279,278,0,0,1,0,0,0,0,0,0,0,0,278,0,1,0,0
N00001219,2.02196240700971E-2,301,297,0,0,1,0,0,0,0,3,0,0,0,297,3,1,0,0
N00001220,0.99921538531195797,231,229,1,0,0,0,0,0,0,1,0,0,0,229,1,1,0,0
N00001221,0.99999999997737499,258,256,0,0,0,1,0,0,0,0,0,0,1,256,0,1,0,1
N00001222,1.00000000000171,213,207,0,1,0,0,0,0,0,5,0,0,0,208,5,0,0,0
N00001223,0.53340121040496402,300,299,0,0,0,0,0,0,0,1,0,0,0,299,1,0,0,0
N00001224,1.0000000000538001,265,263,0,0,0,0,0,0,1,1,0,0,0,263,2,0,0,0
N00001225,1.0000000003287099,242,239,0,0,0,0,0,3,0,0,0,0,0,239,0,3,0,0
N00001226,1.0000000000420799,236,233,1,0,0,0,0,0,0,0,0,0,2,233,0,1,0,2
N00001227,0.99999999981742105,246,246,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0
N00001228,0.999999999979717,212,211,0,0,1,0,0,0,0,0,0,0,0,211,0,1,0,0
N00001229,0.99999999995458899,255,254,0,0,0,0,0,0,0,1,0,0,0,254,1,0,0,0
N00001230,0.99999999995958799,298,291,0,0,0,0,0,0,0,3,0,2,2,291,3,0,2,2
N00001246,0.96588221909281302,608,594,5,0,2,0,0,0,0,5,0,1,1,594,5,7,1,1
N00001247,0.14849646626547899,245,239,1,0,1,0,0,0,0,0,0,4,0,239,0,2,4,0
N00001248,0.11960393124282,430,429,0,0,0,0,0,0,0,0,0,1,0,429,0,0,1,0
N00001249,0.99999999997563205,403,399,1,0,0,0,0,1,0,0,0,1,1,399,0,2,1,1
N00001250,0.43010483631332103,463,458,2,0,0,0,0,0,0,0,0,2,1,458,0,2,2,1
N00001251,0.99999999998489297,327,305,0,0,0,0,0,21,0,0,0,0,1,305,0,21,0,1
N00001252,0.97585419155858899,321,303,0,0,0,0,0,4,0,5,0,7,2,303,5,4,7,2
N00001253,0.99999999981584597,233,220,0,0,0,0,0,13,0,0,0,0,0,220,0,13,0,0
N00001254,0.99999999995942601,314,313,1,0,0,0,0,0,0,0,0,0,0,313,0,1,0,0
N00001255,0.99999999719823696,276,273,0,0,1,0,0,1,0,1,0,0,0,273,1,2,0,0
N00001256,1.00000000007945,262,261,0,0,0,0,0,0,0,0,0,1,0,261,0,0,1,0
N00001257,1.0000000000226299,233,230,1,0,0,0,0,2,0,0,0,0,0,230,0,3,0,0
N00001258,1.0000000009405401,250,245,0,0,0,0,0,0,0,5,0,0,0,245,5,0,0,0
N00001259,0.99999999998625999,285,274,0,0,0,0,0,10,0,0,0,1,0,274,0,10,1,0
N00001260,0.98857300427586603,363,354,0,0,0,0,0,0,0,2,0,6,1,354,2,0,6,1
N00001261,0.98696950494050695,249,248,0,0,0,1,0,0,0,0,0,0,0,248,0,1,0,0
N00001262,0.94633663412993796,389,387,0,0,0,0,0,1,0,0,0,1,0,387,0,1,1,0
N00001308,3.2377395049915998E-2,486,461,6,0,0,0,0,10,1,4,0,4,0,461,5,16,4,0
N00001309,0.133481659175682,368,351,0,0,4,0,0,2,0,0,0,10,1,351,0,6,10,1
N00001310,9.7063149753563102E-2,981,943,8,0,17,3,0,5,0,2,0,3,0,943,2,33,3,0
N00001311,0.75632934135454899,326,309,0,0,0,0,0,4,0,13,0,0,0,309,13,4,0,0
N00001312,0.99293611737665299,654,625,0,1,10,0,0,11,0,0,0,5,2,626,0,21,5,2
N00001313,0.99999999990402,417,355,0,0,18,0,0,35,0,0,0,8,1,355,0,53,8,1
N00001314,0.99999999998863798,401,358,1,1,0,0,0,30,0,11,0,0,0,359,11,31,0,0
N00001315,0.99999999998298505,246,243,1,0,0,0,0,1,0,0,0,1,0,243,0,2,1,0
N00001316,0.99999999994369504,352,340,0,0,0,0,0,8,0,2,2,0,0,340,4,8,0,0
N00001317,0.99999999987894295,267,261,0,0,0,0,0,6,0,0,0,0,0,261,0,6,0,0
N00001318,0.999999999998606,287,273,0,1,0,3,0,0,0,5,0,4,1,274,5,3,4,1
N00001319,1.0000000000021401,285,281,0,0,4,0,0,0,0,0,0,0,0,281,0,4,0,0
N00001320,1.0000000000185101,253,252,0,0,0,0,0,0,0,0,0,1,0,252,0,0,1,0
N00001321,0.99999999995898103,274,270,0,1,0,0,0,1,0,0,0,2,0,271,0,1,2,0
N00001322,0.99999999991310495,274,270,1,0,0,0,0,1,0,0,0,2,0,270,0,2,2,0
N00001323,1.00000000000499,295,291,1,0,0,0,0,0,0,1,0,2,0,291,1,1,2,0
N00001324,1.00000000000002,243,233,0,0,0,0,0,9,1,0,0,0,0,233,1,9,0,0
N00001353,1.80304984319649E-2,358,354,1,0,1,0,0,0,0,2,0,0,0,354,2,2,0,0
N00001431,0.99999999803815398,326,326,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0
N00001432,0.99999999999189504,281,281,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0,0
N00001433,1.0000000000175999,254,247,5,0,0,0,1,0,1,0,0,0,0,247,1,6,0,0
N00001434,0.99999999999489797,302,301,0,0,0,0,0,0,1,0,0,0,0,301,1,0,0,0
N00001435,0.99999999987711996,233,233,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0
N00001436,0.99999999997598399,301,298,0,1,1,0,0,0,0,0,0,0,1,299,0,1,0,1
N00001437,0.99978977207203201,201,201,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0
N00001438,1.0000000003557099,291,283,0,0,0,0,0,5,0,0,0,3,0,283,0,5,3,0
N00001439,0.193763603048867,270,249,16,1,0,0,0,0,0,1,1,1,1,250,2,16,1,1
N00001440,1.00000000001394,251,246,2,0,0,0,0,1,0,0,0,2,0,246,0,3,2,0
N00001441,0.99999999997892497,282,266,0,0,1,0,0,6,0,1,0,7,1,266,1,7,7,1
N00001442,1.0000000001456699,347,344,0,0,0,0,0,0,0,0,0,2,1,344,0,0,2,1
N00001443,1.00000000000443,209,207,1,0,0,0,0,0,0,0,0,1,0,207,0,1,1,0
N00001444,0.97206003952253905,268,268,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0
N00001546,0.99999999952622998,352,346,0,0,4,0,0,0,0,1,0,1,0,346,1,4,1,0
N00001547,1.00000000348815,316,310,1,0,0,0,0,1,0,2,0,1,1,310,2,2,1,1
N00001548,0.91584750547726301,317,308,1,0,2,0,0,1,0,2,0,3,0,308,2,4,3,0
N00001549,0.99999999969141995,376,369,0,1,2,0,0,3,1,0,0,0,0,370,1,5,0,0
N00001550,0.99999999996992905,213,197,3,0,7,0,0,0,1,2,0,3,0,197,3,10,3,0
N00001551,0.99678622436394604,388,370,8,0,6,0,0,0,0,2,0,2,0,370,2,14,2,0
N00001552,0.999999999963607,376,369,0,1,4,0,0,0,0,1,0,1,0,370,1,4,1,0
N00001553,1.0000000000167799,264,258,0,0,4,0,0,0,0,0,0,1,1,258,0,4,1,1
N00001554,1.00000000006283,326,319,0,0,3,0,0,0,0,1,1,2,0,319,2,3,2,0
N00001555,1.0000000000009199,272,269,0,1,0,0,0,0,0,1,0,1,0,270,1,0,1,0
N00001556,0.99999999998468203,211,211,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0
N00001557,1.00000000051979,268,263,0,0,0,0,0,0,0,0,0,5,0,263,0,0,5,0
N00001559,0.70511117698943404,328,322,1,0,3,0,0,1,0,1,0,0,0,322,1,5,0,0
N00001561,0.80757761356537905,218,215,0,0,0,0,0,0,0,2,0,1,0,215,2,0,1,0
N00001564,0.139891078943292,352,348,0,0,0,0,0,0,1,1,0,0,2,348,2,0,0,2
N00001623,1.00000000006472,287,284,1,0,1,0,0,0,0,0,0,1,0,284,0,2,1,0
N00001624,1.00000000023137,150,148,0,0,1,0,0,0,0,0,1,0,0,148,1,1,0,0
N00001625,0.99999999935688799,253,246,2,0,0,0,0,1,0,1,0,3,0,246,1,3,3,0
N00001626,1.00000000000663,236,236,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0
N00001627,0.99999999961422104,179,178,0,0,0,0,0,0,0,1,0,0,0,178,1,0,0,0
N00001628,0.99603186813163902,248,246,1,0,0,0,0,1,0,0,0,0,0,246,0,2,0,0
N00001629,0.99999999998808897,303,302,0,0,0,0,0,1,0,0,0,0,0,302,0,1,0,0
N00001630,0.99999999998103395,214,211,0,0,0,0,0,0,0,0,0,3,0,211,0,0,3,0
N00001631,1.00000000069285,226,226,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0
N00001632,1.0000000001398801,244,243,0,0,0,0,0,0,0,0,0,1,0,243,0,0,1,0
N00001633,1.00000000002557,183,180,1,0,0,0,0,0,0,0,1,1,0,180,1,1,1,0
N00001634,1.0000000000422899,229,228,0,0,0,1,0,0,0,0,0,0,0,228,0,1,0,0
N00001635,1.0000000000314599,300,296,3,0,0,1,0,0,0,0,0,0,0,296,0,4,0,0
N00001636,1.00000000179825,170,168,1,0,0,0,0,0,0,0,0,1,0,168,0,1,1,0
N00001637,1.0000000000120499,220,220,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0
N00001638,1.0000000000110301,252,250,0,0,1,0,0,0,0,0,1,0,0,250,1,1,0,0
N00001639,0.99999999999732703,180,180,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0
N00001640,1.00000000021445,214,213,0,0,0,0,0,0,0,0,0,1,0,213,0,0,1,0
