health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00088961,217,86,94,32,5,0
S00088963,89,58,21,8,1,1
S00089288,151,74,54,16,5,2
S00090362,138,69,55,13,0,1
S00090387,76,54,17,3,1,1
S00090399,215,135,64,12,3,1
S00090404,190,118,53,16,1,2
S00090669,95,62,19,10,4,0
S00091307,113,55,45,12,0,1
S00091308,119,73,41,5,0,0
S00091309,95,44,36,15,0,0
S00091310,132,94,33,2,2,1
S00091311,189,134,46,8,0,1
S00091312,178,95,66,12,4,1
S00091313,167,134,24,9,0,0
S00091314,83,54,20,7,2,0
S00091315,76,58,14,1,2,1
S00091316,69,36,25,4,4,0
S00091317,123,71,40,8,3,1
S00091318,96,54,33,8,0,1
S00091319,283,209,61,12,0,1
S00091320,133,106,19,6,1,1
S00091321,126,95,28,3,0,0
S00091322,165,118,35,11,1,0
S00091323,139,94,34,9,2,0
S00091324,163,113,45,5,0,0
S00091325,156,99,51,6,0,0
S00091326,128,74,40,11,3,0
S00091327,162,90,55,13,3,1
S00091328,107,55,27,20,3,2
S00091329,148,71,52,16,7,2
S00091330,130,75,36,14,5,0
S00091331,130,65,53,10,2,0
S00091332,87,52,30,4,1,0
S00091333,79,48,24,5,1,1
S00091334,108,53,39,13,3,0
S00091335,132,70,50,12,0,0
S00091336,133,56,59,16,2,0
S00091337,88,31,39,13,5,0
S00091338,60,42,11,6,1,0
S00091339,67,40,18,7,2,0
S00091340,89,58,21,6,2,2
S00091341,190,105,68,14,1,2
S00091342,116,65,36,10,3,2
S00091343,176,116,49,9,2,0
S00091344,85,50,24,10,1,0
S00091345,163,105,39,17,1,1
S00091346,106,70,27,7,0,2
S00091347,129,64,51,11,3,0
S00091348,136,89,32,13,1,1
S00091349,125,69,43,10,2,1
S00091350,135,92,33,9,1,0
S00091351,169,97,64,5,3,0
S00091352,105,63,36,4,1,1
S00091353,95,52,34,6,2,1
S00091354,104,48,46,8,2,0
S00091355,153,103,39,10,1,0
S00091356,141,97,36,8,0,0
S00091357,92,57,24,7,4,0
S00091358,155,97,45,13,0,0
S00091359,119,85,24,9,1,0
S00091360,76,47,19,8,1,1
S00091361,129,86,37,4,1,1
S00091362,120,70,39,9,1,1
S00091363,91,47,34,8,2,0
S00091364,104,68,31,3,1,1
S00091365,191,135,46,8,2,0
S00091366,166,106,42,14,3,1
S00091367,87,46,31,9,1,0
S00091368,162,110,40,10,0,2
S00091369,200,128,54,18,0,0
S00091370,165,117,39,6,3,0
S00091371,183,108,55,16,4,0
S00091372,115,88,25,2,0,0
S00091373,148,99,44,4,1,0
S00091374,105,61,33,9,2,0
S00091375,107,64,33,9,1,0
S00091377,108,71,29,6,2,0
S00091378,118,80,34,4,0,0
S00091379,179,122,54,3,0,0
S00091380,96,62,25,7,0,2
S00091381,161,120,25,10,4,2
S00091383,137,82,45,8,2,0
S00091384,107,71,24,9,3,0
S00091385,88,47,35,6,0,0
S00091386,192,128,44,19,0,1
S00091387,138,83,38,12,4,1
S00091388,161,102,48,8,3,0
S00091389,55,36,13,5,1,0
S00091390,143,94,40,7,2,0
S00091393,218,152,49,16,1,0
S00091431,126,65,42,15,4,0
S00091432,146,93,38,14,1,0
S00091433,68,42,16,9,0,1
S00091434,123,76,32,6,7,2
S00091435,170,92,60,15,3,0
S00091436,145,83,51,11,0,0
S00091443,149,90,39,13,7,0
S00091445,153,92,46,9,3,3
S00091446,159,102,39,17,0,1
S00091447,148,80,52,13,2,1
S00091448,101,46,36,10,6,3
S00091449,131,60,42,20,6,3
S00091450,151,72,64,8,7,0
S00091451,109,57,35,14,2,1
S00091452,109,55,41,9,3,1
S00091453,168,85,57,14,9,3
S00091454,132,69,38,19,5,1
S00091455,154,68,56,22,4,4
S00091456,134,78,45,10,1,0
S00091457,95,56,29,7,3,0
S00091458,132,84,39,8,0,1
S00091459,82,24,39,15,4,0
S00091460,131,73,49,9,0,0
S00091461,150,101,38,10,1,0
S00091462,123,68,43,8,2,2
S00091463,170,116,43,8,2,1
S00091464,95,45,36,10,2,2
S00091465,114,55,39,14,6,0
S00091466,147,79,43,14,9,2
S00091467,103,45,36,17,4,1
S00091468,117,51,46,15,3,2
S00091469,110,55,40,9,5,1
S00091470,123,70,37,13,2,1
S00091471,136,62,40,26,5,3
S00091472,124,43,48,20,8,5
S00091473,155,60,76,16,2,1
S00091474,122,72,39,9,2,0
S00091475,154,73,64,14,3,0
S00091476,134,61,60,12,1,0
S00091477,115,53,44,14,2,2
S00091478,115,49,42,14,8,2
S00091479,80,34,35,9,2,0
S00091480,151,78,44,24,3,2
S00091481,57,27,14,13,0,3
S00091482,167,73,63,26,4,1
S00091483,121,68,47,6,0,0
S00091484,108,72,29,5,1,1
S00091485,162,106,48,8,0,0
S00091486,163,120,28,14,1,0
S00091487,105,42,41,18,3,1
S00091488,96,45,43,6,1,1
S00091489,119,79,26,9,4,1
S00091490,106,48,39,11,7,1
S00091491,142,80,48,12,1,1
S00091492,150,78,50,17,3,2
S00091493,194,128,51,13,1,1
S00091494,207,119,70,10,8,0
S00091495,181,116,52,10,3,0
S00091496,112,56,39,17,0,0
S00091497,193,111,52,25,2,3
S00091498,105,53,41,5,2,4
S00091499,110,65,31,13,1,0
S00091500,128,55,45,22,5,1
S00091501,117,65,35,11,4,2
S00091502,51,22,21,6,2,0
S00091503,119,73,28,14,2,2
S00091504,136,62,54,17,3,0
S00091505,106,66,30,8,1,1
S00091506,153,96,36,18,3,0
S00091507,60,38,13,9,0,0
S00091508,111,46,35,22,7,1
S00091509,104,66,24,9,3,2
S00091510,139,82,42,11,3,1
S00091511,100,44,41,12,1,2
S00091512,162,89,49,22,2,0
S00091513,120,64,36,17,1,2
S00091514,72,16,25,25,4,2
S00091515,96,55,29,11,1,0
S00091516,115,35,39,29,10,2
S00091517,68,18,26,14,9,1
S00091518,92,54,31,6,1,0
S00091519,58,39,16,1,2,0
S00091520,84,42,20,17,3,2
S00091521,130,73,45,11,1,0
S00091522,80,36,25,17,2,0
S00091523,89,42,35,10,2,0
S00091524,119,69,33,12,4,1
S00091525,108,53,42,9,3,1
S00091526,97,50,31,14,1,1
S00091527,100,57,37,4,2,0
S00091528,76,39,24,10,1,2
S00091529,85,33,35,14,3,0
S00091530,234,160,58,14,1,1
S00091531,117,76,32,8,1,0
S00091532,119,78,38,3,0,0
S00091533,187,93,65,24,4,1
S00091534,153,91,48,9,4,1
S00091535,119,75,38,6,0,0
S00091536,130,78,41,9,2,0
S00091537,140,75,52,7,5,1
S00091538,82,41,31,9,0,1
S00091539,87,47,25,12,3,0
S00091548,74,47,22,4,0,1
S00091568,124,51,41,24,5,3
S00091575,107,74,23,6,3,1
S00091576,141,100,36,5,0,0
S00091577,101,42,47,7,5,0
S00091578,59,29,20,10,0,0
S00091579,106,60,37,7,2,0
S00091580,135,70,41,18,6,0
S00091581,180,118,47,12,3,0
S00091582,162,103,45,11,3,0
S00091583,120,59,42,15,3,1
S00091584,116,60,40,13,3,0
S00091585,76,40,28,6,2,0
S00091586,74,32,35,7,0,0
S00091587,226,155,64,4,3,0
S00091588,161,94,58,8,1,0
S00091589,87,57,16,12,2,0
S00091590,193,87,77,18,8,3
S00091591,222,150,53,14,4,1
S00091592,189,140,43,5,1,0
S00091593,227,134,72,16,4,1
S00091594,128,81,37,8,1,1
S00091595,84,47,28,9,0,0
S00091596,93,58,22,10,2,1
S00091597,67,30,29,6,0,2
S00091598,232,129,84,14,5,0
S00092224,71,26,22,19,3,1
S00092225,101,33,35,22,8,3
S00092226,187,122,54,9,2,0
S00092227,153,100,32,19,1,1
S00092228,141,47,50,37,7,0
S00092229,122,88,25,7,2,0
S00092230,109,61,37,8,1,2
S00092231,134,88,32,11,2,1
S00092232,83,57,12,10,2,2
S00092398,191,122,42,18,7,2
S00092399,149,91,41,15,1,1
S00092400,195,133,45,16,1,0
S00092401,160,103,46,8,2,1
S00092402,143,92,38,12,1,0
S00092403,183,143,36,4,0,0
S00092404,76,37,29,6,3,1
S00092405,106,68,26,11,1,0
S00092406,149,128,18,3,0,0
S00092407,213,155,54,4,0,0
S00092408,134,79,40,14,1,0
S00092409,140,95,34,6,3,2
S00092412,113,73,32,6,1,1
S00092413,128,72,48,7,1,0
S00092417,79,47,24,8,0,0
S00092419,76,44,24,7,0,1
S00092420,142,80,45,12,3,2
S00092421,65,48,14,3,0,0
S00092422,111,66,38,4,3,0
S00092423,142,94,35,8,5,0
S00092424,63,39,19,5,0,0
S00092429,105,50,36,16,2,1
S00092430,112,53,34,19,5,1
S00092431,133,78,39,14,2,0
S00092432,117,76,34,7,0,0
S00092433,121,62,41,16,1,1
S00092434,217,145,54,15,1,2
S00092435,65,22,29,8,5,1
S00092438,65,40,17,8,0,0
S00092439,128,52,51,21,3,1
S00092440,72,31,33,8,0,0
S00092441,222,153,58,10,1,0
S00092443,108,62,30,11,5,0
S00092444,106,64,28,10,1,3
S00092445,57,31,22,3,1,0
S00092451,128,61,38,26,1,2
S00092452,116,61,46,7,1,1
S00092453,124,56,54,10,2,2
S00092454,86,44,35,6,0,1
S00092455,123,60,39,19,5,0
S00092456,86,38,37,8,3,0
S00092457,92,60,27,5,0,0
S00092458,180,96,57,20,3,4
S00092459,179,103,60,13,3,0
S00092460,96,60,26,8,2,0
S00092473,95,51,31,11,2,0
S00092474,167,106,47,10,2,2
S00092561,93,56,26,10,1,0
S00092562,184,108,64,8,4,0
S00092563,164,108,43,12,0,1
S00092564,91,61,23,4,3,0
S00092565,167,116,42,6,2,1
S00092566,106,33,56,13,2,2
S00092567,166,125,37,3,1,0
S00092568,125,91,24,7,3,0
S00092569,201,157,40,4,0,0
S00092570,153,109,30,11,0,3
S00092571,95,44,40,8,2,1
S00092572,81,52,22,5,2,0
S00092573,196,119,67,9,1,0
S00092574,137,74,42,18,2,1
S00092575,163,110,36,16,1,0
S00092576,102,65,22,9,6,0
S00092585,172,112,46,10,1,3
S00092586,164,116,34,10,3,1
S00092587,129,65,46,15,3,0
S00092588,133,72,43,13,4,1
S00092592,177,72,69,32,4,0
S00092593,113,62,33,15,3,0
S00092594,121,59,49,10,2,1
S00092595,103,53,42,5,2,1
S00092596,252,112,76,40,20,4
S00092597,109,46,44,12,5,2
S00092598,115,60,37,10,7,1
S00092599,129,64,40,19,5,1
S00092600,109,58,39,10,1,1
S00092601,106,59,36,9,2,0
S00092602,131,90,31,4,5,1
S00092603,152,97,42,12,1,0
S00092604,176,115,44,11,5,1
S00092605,106,65,27,9,3,2
S00092606,107,68,29,10,0,0
S00092607,93,38,37,14,4,0
S00092608,106,61,33,9,2,1
S00092609,171,101,54,14,2,0
S00092610,199,124,64,10,1,0
S00092611,130,61,43,22,3,1
S00092612,167,112,47,6,2,0
S00092613,83,38,29,10,4,2
S00092614,93,49,27,10,5,2
S00092615,72,26,30,11,5,0
S00092616,141,63,60,13,5,0
S00092617,95,69,21,4,0,1
S00092618,159,109,38,8,4,0
S00092619,177,117,49,9,2,0
S00092620,156,41,38,48,26,3
S00092621,218,163,38,14,3,0
S00092622,70,26,21,20,3,0
S00092623,95,50,34,9,1,1
S00092624,155,118,33,3,1,0
S00092625,170,116,44,10,0,0
S00092626,80,32,33,12,3,0
S00092627,107,52,34,12,6,3
S00092628,67,50,12,5,0,0
S00092629,205,120,65,15,4,1
S00092630,66,38,22,5,0,1
S00092631,191,113,62,14,1,1
S00092632,111,82,21,8,0,0
S00092652,69,46,20,1,2,0
S00092653,130,60,55,12,3,0
S00092654,124,71,39,10,2,2
S00092655,134,76,43,9,4,2
S00092656,112,71,36,2,2,1
S00092657,185,105,45,29,3,3
S00092658,89,57,28,3,1,0
S00092659,182,106,61,13,2,0
S00092660,101,60,28,10,3,0
S00092661,117,56,46,12,3,0
S00092662,78,39,30,7,1,1
S00092663,112,58,44,9,1,0
S00092979,73,30,27,12,4,0
S00092980,140,43,60,24,10,3
S00092981,64,27,24,10,1,2
S00092982,105,74,23,2,4,2
S00092983,182,118,42,15,4,3
S00092984,163,106,34,17,4,2
S00092985,148,95,39,10,2,2
S00092986,180,147,27,5,1,0
S00092987,140,99,37,3,1,0
S00092988,165,129,29,7,0,0
S00092989,192,120,52,12,7,1
S00092990,186,140,34,7,3,2
S00092991,191,109,61,15,6,0
S00092992,154,83,58,12,1,0
S00092993,106,64,30,7,4,1
S00092994,151,90,45,14,2,0
S00093001,139,63,48,19,5,4
S00093002,176,98,40,24,10,4
S00093008,132,74,43,13,2,0
S00093009,55,28,14,8,4,1
S00093010,96,53,30,7,4,2
S00093011,96,42,34,9,10,1
S00093012,112,59,37,10,6,0
S00093013,138,73,51,11,3,0
S00093014,82,32,36,8,5,1
S00093015,65,32,25,5,2,1
S00093016,118,70,35,9,1,3
S00093017,129,69,47,10,3,0
S00093018,113,78,29,3,2,1
S00093019,159,105,38,13,2,1
S00093020,78,38,25,14,0,1
S00093021,95,52,34,7,2,0
S00093025,109,59,34,10,4,2
S00093027,118,65,38,11,3,1
S00093028,120,80,28,8,4,0
S00093034,103,61,30,10,1,1
S00093035,106,74,26,5,1,0
S00093038,63,33,25,5,0,0
S00093045,172,93,44,27,8,0
S00093046,159,93,50,13,3,0
S00093047,128,61,44,15,6,2
S00093048,80,35,34,7,3,1
S00093049,80,47,22,10,1,0
S00093050,71,45,19,7,0,0
S00093051,79,54,19,5,0,1
S00093052,90,62,18,9,1,0
S00093053,115,76,31,4,3,1
S00093054,78,36,31,10,1,0
S00093055,106,70,25,10,1,0
S00093056,66,42,18,3,2,1
S00093057,91,58,26,6,1,0
S00093058,137,59,57,18,3,0
S00093059,147,71,50,17,8,1
S00093060,122,79,22,17,3,1
S00093061,99,59,25,11,3,1
S00093062,127,67,38,19,3,0
S00093063,126,71,48,6,1,0
S00093064,147,86,44,11,4,2
S00093065,189,109,62,13,4,1
S00093066,125,76,29,15,4,1
S00093067,67,50,14,3,0,0
S00093068,127,72,43,8,4,0
S00093069,80,55,20,4,1,0
S00093070,131,61,54,11,4,1
S00093071,121,84,30,6,0,1
S00093072,109,65,33,7,4,0
S00093073,123,72,37,8,4,2
S00093074,116,68,37,9,2,0
S00093075,99,61,33,5,0,0
S00093076,145,77,52,13,2,1
S00093077,151,111,26,8,5,1
S00093078,87,39,29,15,3,1
S00093079,61,32,16,8,5,0
S00093080,182,139,30,7,6,0
S00093081,145,94,39,7,4,1
S00093082,176,130,39,4,2,1
S00093083,199,125,54,14,6,0
S00093084,98,55,30,12,1,0
S00093085,118,75,35,4,3,1
S00093086,55,30,19,6,0,0
S00093087,119,64,36,13,4,2
S00093088,176,101,35,35,1,4
S00093089,122,50,46,21,4,1
S00093090,91,39,23,20,9,0
S00093091,115,67,29,10,6,3
S00093092,156,93,44,15,3,1
S00093093,114,82,19,11,2,0
S00093094,92,32,29,20,7,4
S00093099,144,96,35,12,1,0
S00093100,157,106,45,4,2,0
S00093101,183,117,53,10,2,1
S00093102,193,138,35,14,5,1
S00093103,142,78,39,19,4,2
S00093104,114,75,29,6,4,0
S00093105,198,116,56,20,4,2
S00093106,117,81,27,9,0,0
S00093107,125,78,32,11,3,1
S00093108,92,53,23,7,8,1
S00093109,121,65,37,11,6,2
S00093110,115,68,38,8,1,0
S00093111,104,63,28,10,1,2
S00093112,88,55,25,6,2,0
S00093113,100,77,19,3,1,0
S00093114,172,136,29,5,2,0
S00093115,91,42,34,7,7,1
S00093116,207,148,52,5,1,1
S00093117,184,144,33,7,0,0
S00093118,135,47,50,20,15,3
S00093119,132,71,45,9,6,1
S00093120,110,64,30,11,5,0
S00093121,117,60,43,11,3,0
S00093122,81,23,31,16,7,4
S00093123,116,44,54,14,3,1
S00093124,88,34,36,14,4,0
S00093125,100,48,38,11,3,0
S00093126,108,46,43,13,3,3
S00093127,99,42,43,11,2,1
S00093128,121,58,43,18,1,1
S00093129,185,110,61,10,3,1
S00093130,122,59,40,13,6,4
S00093131,115,53,42,14,6,0
S00093132,84,42,25,10,6,1
S00093133,116,61,38,13,3,1
S00093134,138,74,45,15,2,2
S00093135,146,78,46,17,4,1
S00093136,88,45,29,11,2,1
S00093137,92,47,29,12,3,1
S00093138,111,63,31,11,4,2
S00093139,109,54,34,18,2,1
S00093140,138,73,48,14,3,0
S00093141,107,53,35,12,6,1
S00093142,162,104,38,18,1,1
S00093143,118,70,35,11,1,1
S00093144,111,67,33,7,3,1
S00093145,169,77,53,31,5,3
S00093146,186,139,31,12,3,1
S00093147,108,54,35,16,3,0
S00093148,68,23,24,16,4,1
S00093149,109,57,34,14,3,1
S00093150,80,25,46,7,2,0
S00093151,110,50,27,23,9,1
S00093152,61,8,22,26,5,0
S00093153,149,99,38,7,5,0
S00093154,111,50,38,14,7,2
S00093155,101,51,42,7,1,0
S00093156,177,109,47,14,5,2
S00093157,117,55,36,20,4,2
S00093158,124,57,42,18,6,1
S00093159,80,27,15,24,9,5
S00093160,97,60,24,7,4,2
S00093161,137,86,41,7,1,2
S00093162,161,113,34,11,2,1
S00093163,103,35,37,18,8,5
S00093164,144,79,44,13,5,3
S00093165,104,65,30,8,1,0
S00093166,142,72,47,16,7,0
S00093167,119,50,38,15,16,0
S00093168,80,42,21,12,4,1
S00093169,80,40,28,6,6,0
S00093170,75,41,17,14,3,0
S00093171,76,19,20,22,12,3
S00093172,136,74,47,11,3,1
S00093173,106,67,22,13,2,2
S00093174,169,118,40,10,1,0
S00093175,82,56,22,3,1,0
S00093176,102,54,32,11,3,2
S00093177,88,43,26,10,5,4
S00093178,155,99,44,9,1,2
S00093179,125,52,46,21,4,2
S00093180,167,69,43,40,5,10
S00093181,146,94,40,8,3,1
S00093182,195,118,66,10,1,0
S00093183,110,52,46,10,1,1
S00093184,169,104,45,15,4,1
S00093185,99,58,26,10,3,2
S00093186,154,88,51,11,2,2
S00093187,161,100,48,10,3,0
S00093188,111,63,33,13,2,0
S00093189,106,53,38,14,1,0
S00093190,161,89,56,15,1,0
S00093191,91,50,29,8,3,1
S00093192,123,85,32,4,2,0
S00093193,141,85,31,20,4,1
S00093194,137,75,37,20,5,0
S00093195,96,62,23,7,3,1
S00093196,133,57,50,18,8,0
S00093197,76,40,24,9,3,0
S00093198,141,69,52,17,2,1
S00093199,147,68,60,15,3,1
S00093200,57,28,18,8,3,0
S00093201,117,70,33,12,2,0
S00093202,122,68,41,10,3,0
S00093203,85,38,27,14,5,1
S00093204,121,69,44,7,1,0
S00093205,95,46,31,13,3,2
S00093206,94,34,36,20,3,1
S00093207,93,49,24,13,6,1
S00093208,109,58,37,12,1,1
S00093209,114,81,30,3,0,0
S00093210,166,110,47,7,2,0
S00093211,104,66,27,8,2,1
S00093212,86,38,35,11,2,0
S00093213,88,39,32,10,5,2
S00093214,107,54,41,11,1,0
S00093215,97,41,41,11,2,2
S00093216,79,40,22,10,5,2
S00093217,68,44,14,9,1,0
S00093218,117,63,29,21,4,0
S00093219,98,39,28,25,4,2
S00093220,88,38,21,16,7,6
S00093221,69,24,27,13,5,0
S00093222,97,37,33,15,10,2
S00093223,112,51,47,11,3,0
S00093224,124,56,45,16,6,1
S00093225,103,62,29,7,4,1
S00093226,148,76,50,16,3,3
S00093227,84,21,42,17,3,1
S00093228,104,37,50,14,3,0
S00093229,170,91,55,17,7,0
S00093230,144,74,51,15,4,0
S00093231,88,38,31,13,5,1
S00093232,85,39,31,11,3,1
S00093233,116,67,34,10,3,2
S00093234,101,48,33,11,6,3
S00093235,109,57,39,11,0,2
S00093236,151,92,46,10,2,1
S00093237,145,68,52,15,8,2
S00093238,95,42,35,14,4,0
S00093239,135,62,47,16,4,6
S00093240,85,49,22,8,5,1
S00093241,78,31,19,15,9,4
S00093242,93,45,30,11,5,2
S00093243,104,65,27,6,6,0
S00093244,116,68,36,8,2,2
S00093245,101,52,32,10,6,1
S00093246,121,58,43,16,4,0
S00093247,128,72,39,14,3,0
S00093248,82,43,25,6,6,2
S00093249,120,66,41,8,5,0
S00093250,113,54,41,14,3,1
S00093251,176,111,46,18,1,0
S00093252,114,49,40,18,7,0
S00093253,99,45,37,14,3,0
S00093254,108,44,25,25,7,7
S00093255,109,60,36,9,4,0
S00093256,113,55,32,15,8,3
S00093257,106,41,42,14,6,3
S00093258,95,59,29,4,3,0
S00093259,105,43,28,23,10,1
S00093260,89,31,25,19,13,1
S00093261,57,28,19,9,1,0
S00093262,117,64,32,19,1,1
S00093263,67,27,21,13,2,4
S00093264,81,34,25,15,6,1
S00093265,136,70,45,13,4,4
S00093266,97,54,32,5,4,2
S00093267,77,39,30,4,3,1
S00093268,93,43,32,15,3,0
S00093269,74,39,19,11,3,2
S00093270,104,53,29,10,7,5
S00093271,53,23,15,8,7,0
S00093272,97,45,37,13,1,1
S00093273,104,48,31,15,8,2
S00093274,104,44,34,19,6,1
S00093275,79,33,24,13,6,3
S00093276,125,76,39,8,0,2
S00093277,68,24,20,18,2,4
S00093278,54,13,15,15,9,2
S00093279,118,42,43,25,6,2
S00093280,64,9,21,23,10,1
S00093281,110,52,40,12,4,2
S00093282,100,42,29,19,8,2
S00093283,100,30,34,19,10,7
S00093284,89,51,22,14,0,2
S00093285,104,47,43,9,4,1
S00093286,94,55,25,10,2,2
S00093287,94,32,36,16,8,2
S00093288,77,46,22,9,0,0
S00093289,89,43,31,13,1,1
S00093290,127,74,36,10,6,1
S00093291,99,62,24,7,4,2
S00093292,108,44,49,14,1,0
S00093293,107,60,30,11,5,1
S00093294,93,49,25,12,5,2
S00093295,154,88,43,13,8,2
S00093296,99,47,32,10,7,3
S00093297,130,71,40,11,6,2
